Family,Feature,U_statistic,p_value,Significant,Correct_mean,Incorrect_mean,Sample_size_correct,Sample_size_incorrect
All,clustering,6.0,0.003740970072239422,True,0.0054053708432957705,0.009145514285429528,15,5
All,average_degree,47.5,0.40070709755907363,False,19.344941513261478,19.22293917887668,15,5
All,pagerank,68.0,0.005417956656346749,True,0.44654249847779526,0.4202654363079274,15,5
